realgm_player_id,realgm_name,hh_name
,A.J. Green,AJ Green
,"A.J. Griffin, Jr.",AJ Griffin
,A.J. Guyton,AJ Guyton
,A.J. Hammons,AJ Hammons
,A.J. Lawson,AJ Lawson
,A.J. Price,AJ Price
,Alek Radojevic,Aleksandar Radojevic
,Amar'e Stoudemire,Amare Stoudemire
,"Andre Jackson, Jr.",Andre Jackson
,Andrew Amaya,Ashraf Amaya
,B.J. Armstrong,BJ Armstrong
,"B.J. Boston, Jr.",BJ Boston
,B.J. Johnson,BJ Johnson
,Babby Araujo,Rafael Araujo
,Bateer Mengke,Mengke Bateer
,Bob A. Harris,Bob Harris
,Bobby Hansen,Bob Hansen
,"Bonzie Colson, Jr.",Bonzie Colson
,Brandon Williams,Brandon Williams (1975)
,Brian Bowen II,Brian Bowen
,"Bruce Brown, Jr.",Bruce Brown
,Byron Mullens,BJ Mullens
,C.J. Elleby,CJ Elleby
,C.J. McCollum,CJ McCollum
,C.J. Miles,CJ Miles
,C.J. Watson,CJ Watson
,C.J. Wilcox,CJ Wilcox
,C.J. Williams,CJ Williams
,Cadillac Anderson,Greg Anderson
,Cat Barber,Anthony Barber
,Charles A. Jones,Charles Jones (1957)
,Charles Alexander Jones,Charles Jones (1962)
,Charles Cornelius Smith,Charles Smith (1975)
,Charles Daniel Smith,Charles Smith (1965)
,Charles Edward Smith,Charles Smith (1967)
,Charles R. Jones,Charles Jones (1975)
,"Charlie Brown, Jr.",Charlie Brown
,"Chaundee Brown, Jr.",Chaundee Brown
,Cheickh Samb,Cheikh Samb
,Cliff Robinson,Clifford Robinson
,Cliff Robinson (1960),Cliff Robinson
,"Craig Porter, Jr.",Craig Porter
,D.J. Augustin,DJ Augustin
,D.J. Carton,DJ Carton
,D.J. Kennedy,DJ Kennedy
,D.J. Mbenga,Didier Ilunga-Mbenga
,D.J. Stephens,DJ Stephens
,D.J. White,DJ White
,D.J. Wilson,DJ Wilson
,David Greenwood,Dave Greenwood
,DeAndre' Bembry,DeAndre Bembry
,Dennis Schroder,Dennis Schroeder
,Dereck Lively II,Dereck Lively
,Derrick Alston,Derrick Alston Sr
,"Derrick Walton, Jr.",Derrick Walton
,Devonte' Graham,Devonte Graham
,Dontae Jones,Dontae' Jones
,"Duane Washington, Jr.",Duane Washington Jr
,E.J. Liddell,EJ Liddell
,"Eddie Johnson, Jr.",Fast Eddie Johnson
,Edy Tavares,Walter Tavares
,Enes Freedom,Enes Kanter
,Flip Murray,Ronald Murray
,Frankie Williams,Frank Williams
,G.G. Jackson,GG Jackson
,"Gary Trent, Jr.",Gary Trent Jr
,George Muresan,Gheorghe Muresan
,George Papagiannis,Georgios Papagiannis
,Gerald Hannahs,Dusty Hannahs
,Gerald Henderson,Gerald Henderson Sr
,Gerald Henderson Sr.,Gerald Henderson Sr
,Glen Rice Jr.,Glen Rice Jr
,Greg Brown III,Greg Brown
,Hamady Ndiaye,Hamady N'Diaye
,Hedo Turkoglu,Hidayet Turkoglu
,Horacio Llamas,Horacio Llamas Grey
,Ibrahim Kutluay,Ibo Kutluay
,Ike Austin,Isaac Austin
,Ike Fontaine,Isaac Fontaine
,Isaiah Stewart II,Isaiah Stewart
,Ish Smith,Ishmael Smith
,Ish Wainright,Ishmail Wainright
,J.D. Davison,JD Davison
,J.J. Barea,Jose Juan Barea
,J.J. Hickson,JJ Hickson
,J.J. O'Brien,JJ O'Brien
,J.J. Redick,JJ Redick
,J.P. Macura,JP Macura
,J.R. Bremer,JR Bremer
,J.R. Giddens,JR Giddens
,J.R. Rider,Isaiah Rider
,J.R. Smith,JR Smith
,J.T. Thor,JT Thor
,Jabari Smith,Jabari Smith Sr
,"Jabari Smith, Jr.",Jabari Smith
,Jae'sean Tate,Jae'Sean Tate
,"Jaime Jaquez, Jr.",Jaime Jaquez
,Jake Tsakalidis,Iakovos Tsakalidis
,Jake Wiley,Jacob Wiley
,James Huff,Jay Huff
,James McAdoo,James Michael McAdoo
,James Webb III,James Webb
,"Jaren Jackson, Jr.",Jaren Jackson Jr
,Javonte Smart,Ja'Vonte Smart
,Jianlian Yi,Yi Jianlian
,Jiff Wilson,George Wilson
,"Jim Paxson, Sr.",Jim Paxson Sr
,Joe C. Meriweather,Joe Meriweather
,Joe Young,Joseph Young
,Jose Rafael Ortiz-Rijos,Jose Ortiz
,Joshua Magette,Josh Magette
,Joshua Primo,Josh Primo
,Juancho Hernangomez,Juan Hernangomez
,K.J. Martin,KJ Martin
,K.J. McDaniels,KJ McDaniels
,"Kelly Oubre, Jr.",Kelly Oubre
,"Kenny Lofton, Jr.",Kenneth Lofton
,Kevin Porter,Kevin Porter (1950)
,"Kevin Porter, Jr.",Kevin Porter
,"Kira Lewis, Jr.",Kira Lewis
,"Larry Nance, Jr.",Larry Nance Jr
,Lou Amundson,Louis Amundson
,Lou Williams,Louis Williams
,M.J. Walker,MJ Walker
,Mahdi Abdul-Rahman,Walt Hazzard
